File,Dataset,predict_time,predict_throughput,histogram_time,histogram_throughput,huff-enc_time,huff-enc_throughput,(subtotal)_time,(subtotal)_throughput,book_time,book_throughput,(total)_time,(total)_throughput
TROP_T_1_1800_3600.f32,CESM,0.473,51.052,0.186,129.95,0.27,89.578,0.928,26.008,0.065,370.896,0.993,24.304
ODV_bcar1_1_1800_3600.f32,CESM,0.459,52.562,0.179,134.634,0.267,90.46,0.906,26.66,0.289,83.404,1.195,20.2
FREQSH_1_1800_3600.f32,CESM,0.461,52.332,0.187,128.846,0.269,89.698,0.918,26.3,0.306,78.94,1.224,19.726
FLUTC_1_1800_3600.f32,CESM,0.457,52.844,0.186,129.726,0.27,89.268,0.913,26.428,0.22,109.744,1.134,21.29
RHREFHT_1_1800_3600.f32,CESM,0.459,52.56,0.187,128.942,0.271,88.946,0.918,26.298,0.219,110.066,1.137,21.228
xx.dat2.f32,EXAALT,0.527,45.786,0.181,133.43,0.273,88.428,0.981,24.6,0.314,76.778,1.296,18.63
yy.dat2.f32,EXAALT,0.54,44.726,0.181,133.092,0.273,88.594,0.994,24.292,0.314,76.856,1.308,18.458
zz.f32,HACC,0.569,42.402,0.188,128.18,0.271,89.076,1.029,23.466,0.32,75.418,1.349,17.896
xx.f32,HACC,0.462,52.316,0.188,128.316,0.271,89.126,0.921,26.222,0.256,94.49,1.176,20.526
vy.f32,HACC,0.536,45.006,0.187,129.186,0.275,87.852,0.998,24.188,0.311,77.574,1.309,18.438
yy.f32,HACC,0.479,50.356,0.189,127.97,0.274,88.096,0.942,25.626,0.303,79.816,1.245,19.394
vx.f32,HACC,0.558,43.234,0.183,131.918,0.278,86.918,1.019,23.686,0.313,77.164,1.332,18.124
vz.f32,HACC,0.546,44.228,0.185,130.772,0.275,87.918,1.005,24.014,0.322,75.038,1.327,18.186
Wf48.bin.f32,HURR,0.452,53.41,0.187,129.208,0.273,88.412,0.912,26.47,0.316,76.362,1.228,19.656
QSNOWf48.bin.f32,HURR,0.446,54.134,0.177,136.45,0.266,90.934,0.889,27.17,0.244,98.746,1.133,21.306
QICEf48.bin.f32,HURR,0.455,53.058,0.182,132.788,0.264,91.434,0.901,26.794,0.309,78.178,1.21,19.954
QGRAUPf48.log10.bin.f32,HURR,0.598,40.39,0.192,125.66,0.278,87.002,1.068,22.616,0.315,76.66,1.382,17.462
QGRAUPf48.bin.f32,HURR,0.457,52.898,0.178,135.404,0.265,91.132,0.9,26.832,0.319,75.596,1.219,19.8
CLOUDf48.bin.f32,HURR,0.508,47.54,0.187,129.388,0.279,86.492,0.974,24.788,0.313,77.036,1.287,18.752
Uf48.bin.f32,HURR,0.534,45.198,0.186,129.996,0.272,88.694,0.992,24.334,0.324,74.548,1.316,18.346
QVAPORf48.bin.f32,HURR,0.588,41.05,0.186,129.938,0.274,88.218,1.048,23.044,0.315,76.636,1.363,17.716
Vf48.bin.f32,HURR,0.516,46.784,0.187,129.222,0.274,88.044,0.977,24.706,0.321,75.232,1.298,18.6
QRAINf48.bin.f32,HURR,0.464,52.058,0.188,128.168,0.276,87.576,0.928,26.006,0.319,75.656,1.248,19.352
QSNOWf48.log10.bin.f32,HURR,0.564,42.776,0.187,129.06,0.271,89.04,1.023,23.606,0.316,76.352,1.339,18.03
TCf48.bin.f32,HURR,0.489,49.362,0.186,129.918,0.271,88.98,0.946,25.514,0.322,74.956,1.268,19.032
Pf48.bin.f32,HURR,0.532,45.422,0.187,129.304,0.27,89.28,0.989,24.416,0.316,76.392,1.305,18.502
PRECIPf48.bin.f32,HURR,0.447,54.05,0.185,130.468,0.268,90.09,0.9,26.832,0.316,76.316,1.216,19.854
QCLOUDf48.bin.f32,HURR,0.503,47.994,0.184,131.182,0.274,88.232,0.961,25.124,0.314,76.8,1.275,18.928
PRECIPf48.log10.bin.f32,HURR,0.572,42.248,0.186,129.498,0.274,88.202,1.032,23.4,0.317,76.108,1.349,17.896
CLOUDf48.log10.bin.f32,HURR,0.567,42.57,0.188,128.686,0.271,89.232,1.025,23.542,0.316,76.442,1.341,18.002
QCLOUDf48.log10.bin.f32,HURR,0.557,43.332,0.184,130.906,0.274,88.234,1.016,23.772,0.321,75.148,1.337,18.058
QICEf48.log10.bin.f32,HURR,0.487,49.554,0.179,134.928,0.267,90.39,0.933,25.87,0.319,75.788,1.252,19.284
