File,Dataset,predict_time,predict_throughput,histogram_time,histogram_throughput,huff-enc_time,huff-enc_throughput,(subtotal)_time,(subtotal)_throughput,book_time,book_throughput,(total)_time,(total)_throughput
TAUY_1_1800_3600.f32,CESM,0.727,33.734,0.349,77.462,0.694,35.79,1.77,14.108,0.377,64.226,2.146,11.516
ODV_dust4_1_1800_3600.f32,CESM,1.104,26.134,0.324,78.786,0.614,39.426,2.041,12.774,0.347,70.134,2.389,10.67
SHFLX_1_1800_3600.f32,CESM,0.753,33.174,0.344,81.092,0.751,36.018,1.848,14.13,0.358,67.42,2.206,11.6
PRECSH_1_1800_3600.f32,CESM,0.751,32.624,0.339,79.706,0.749,36.338,1.84,13.974,0.291,83.824,2.131,11.878
FLNT_1_1800_3600.f32,CESM,0.733,33.936,0.454,58.484,0.886,32.292,2.073,12.684,0.176,136.952,2.249,11.542
QFLX_1_1800_3600.f32,CESM,0.744,33.32,0.409,68.67,0.733,36.132,1.886,13.644,0.35,69.092,2.236,11.288
PRECT_1_1800_3600.f32,CESM,0.776,32.01,0.297,81.906,0.608,39.826,1.681,14.44,0.29,84.17,1.971,12.32
PRECC_1_1800_3600.f32,CESM,0.685,35.492,0.325,78.39,0.734,36.78,1.744,14.11,0.288,84.036,2.033,12.038
SNOWHLND_1_1800_3600.f32,CESM,0.972,27.074,0.613,55.734,0.965,28.006,2.55,10.77,0.376,64.626,2.926,9.134
FLUT_1_1800_3600.f32,CESM,0.759,43.632,0.359,74.516,0.804,32.552,1.921,13.688,0.179,134.732,2.101,12.366
ODV_ocar2_1_1800_3600.f32,CESM,0.831,30.36,0.427,66.644,0.86,32.114,2.118,12.484,0.347,70.384,2.465,10.508
OCNFRAC_1_1800_3600.f32,CESM,0.732,33.642,0.395,68.518,0.74,36.366,1.867,13.716,0.383,63.574,2.249,11.21
AEROD_v_1_1800_3600.f32,CESM,1.254,24.688,0.574,55.768,1.234,22.016,3.062,8.916,0.317,76.142,3.379,7.902
zz.dat2.f32,EXAALT,0.766,32.472,0.285,86.804,0.573,42.192,1.624,15.058,0.355,67.984,1.979,12.294
xx.dat2.f32,EXAALT,0.891,28.336,0.332,83.052,0.633,38.466,1.855,13.42,0.37,65.378,2.226,11.098
yy.dat2.f32,EXAALT,0.787,31.45,0.266,92.572,0.638,38.298,1.692,14.452,0.378,64.384,2.069,11.75
yy.f32,HACC,0.808,32.492,0.284,85.874,0.679,36.144,1.771,13.868,0.332,72.684,2.104,11.622
